日時,現地気圧(hPa),海面気圧(hPa),降水量(mm),気温(°C),露点温度(°C),蒸気圧(hPa),湿度(%),風速(m/s),風向,日照時間(h),全天日射量(MJ/㎡),降雪量(cm),積雪量(cm),天気,視程(km),スタジアム名,都道府県,屋内外
2025-03-21 23,1008.1,1014.6,--,13.7,4.6,8.5,54,5.0,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 24,1007.8,1014.3,--,13.6,4.2,8.3,53,4.2,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 1,1007.5,1014.0,--,13.6,4.5,8.4,54,4.1,南,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 2,1007.3,1013.8,--,13.1,5.0,8.7,58,6.0,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 3,1006.8,1013.3,--,12.8,5.2,8.9,60,4.9,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 4,1006.7,1013.2,--,12.9,4.6,8.5,57,4.0,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 5,1006.8,1013.3,--,12.7,4.9,8.7,59,5.1,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 6,1007.1,1013.6,--,10.2,4.4,8.3,67,1.3,西南西,,0.00,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 7,1007.5,1014.1,--,9.5,4.5,8.4,71,0.7,北北西,0.4,0.12,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 8,1007.8,1014.3,--,10.8,4.5,8.4,65,0.9,南東,1.0,0.73,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 9,1008.0,1014.5,--,13.4,4.0,8.1,53,1.5,南南西,1.0,1.47,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 10,1007.7,1014.1,--,16.4,1.3,6.7,36,3.0,南,1.0,2.17,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 11,1007.4,1013.7,--,18.3,2.2,7.2,34,3.2,南,1.0,2.70,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 12,1006.7,1013.0,--,19.7,2.1,7.1,31,2.7,南,1.0,2.96,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 13,1005.9,1012.2,--,20.4,1.8,7.0,29,5.1,南,1.0,3.00,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 14,1004.6,1010.8,--,21.7,1.9,7.0,27,5.0,南,1.0,2.82,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 15,1004.1,1010.3,--,22.6,2.1,7.1,26,2.9,南南東,1.0,2.39,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 16,1003.5,1009.7,--,21.6,1.3,6.7,26,7.1,南南西,1.0,1.81,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 17,1003.4,1009.6,--,22.0,-1.3,5.6,21,5.8,南南西,1.0,1.12,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 18,1003.8,1010.0,--,21.5,-4.5,4.4,17,5.1,南西,1.0,0.42,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 19,1004.1,1010.4,--,20.3,-3.4,4.8,20,7.7,南西,0.0,0.02,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 20,1004.4,1010.7,--,19.5,-4.0,4.5,20,4.9,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 21,1004.9,1011.2,--,17.8,-1.4,5.5,27,2.8,南南東,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 22,1005.3,1011.7,--,17.0,-1.6,5.4,28,2.9,南,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 23,1005.7,1012.1,--,17.1,-1.5,5.5,28,3.9,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-22 24,1005.7,1012.1,--,16.8,-1.3,5.5,29,4.3,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 1,1005.6,1012.0,--,16.2,-0.5,5.9,32,4.6,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 2,1005.6,1012.1,--,13.2,0.9,6.5,43,2.2,南,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 3,1005.3,1011.8,--,12.3,1.6,6.9,48,1.8,南南東,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 4,1005.5,1012.0,--,11.1,1.4,6.7,51,2.4,北,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 5,1006.0,1012.5,--,10.2,1.6,6.8,55,2.3,北,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 6,1006.4,1013.0,--,9.6,1.5,6.8,57,2.1,北北東,,0.00,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 7,1006.9,1013.5,--,9.3,1.9,7.0,60,2.2,北,0.5,0.13,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 8,1007.5,1014.0,--,10.8,1.9,7.0,54,0.8,北北東,1.0,0.76,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 9,1007.9,1014.4,--,13.3,1.9,7.0,46,1.2,北西,1.0,1.51,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 10,1008.1,1014.5,--,16.0,1.7,6.9,38,1.3,北,1.0,2.19,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 11,1007.7,1014.0,--,19.1,1.6,6.9,31,2.3,南南東,1.0,2.70,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 12,1007.2,1013.5,--,20.4,2.3,7.2,30,4.7,南,1.0,3.02,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 13,1006.4,1012.7,--,21.0,2.8,7.5,30,3.7,南,1.0,3.08,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 14,1005.6,1011.9,--,21.1,2.4,7.3,29,4.0,南,1.0,2.87,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 15,1005.2,1011.5,--,21.6,2.8,7.5,29,4.4,南,1.0,2.44,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 16,1004.6,1010.8,--,22.6,2.7,7.4,27,1.9,南南東,1.0,1.78,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 17,1004.8,1011.0,--,21.7,2.9,7.5,29,2.9,南,1.0,1.09,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 18,1005.2,1011.5,--,20.5,2.8,7.5,31,1.5,南南東,0.8,0.39,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 19,1005.7,1012.0,--,19.1,2.9,7.5,34,0.8,南東,0.0,0.02,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 20,1006.2,1012.5,--,18.2,4.4,8.4,40,1.2,南,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 21,1006.7,1013.1,--,16.8,4.2,8.2,43,2.5,北,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 22,1006.8,1013.2,--,15.6,4.7,8.5,48,1.4,北北東,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 23,1006.5,1012.9,--,14.4,4.4,8.4,51,2.9,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-23 24,1006.2,1012.6,--,13.8,3.3,7.7,49,2.3,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-24 1,1006.2,1012.7,--,13.0,3.1,7.6,51,1.6,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
