"matchID,氏名,打数,安打,打率,打点"
"202556,万波,4,2,0.5,2"
"202556,山縣,4,0,0.0,0"
"202556,水野,3,2,0.6666666666666666,1"
"202556,伏見,4,1,0.25,0"
"202557,松本剛,4,0,0.0,0"
"202557,淺間,2,1,0.5,0"
"202557,今川,4,1,0.25,0"
"202557,五十幡,1,0,0.0,0"
"202557,郡司,0,0,0,0"
"202557,レイエス,6,2,0.3333333333333333,2"
"202557,野村,6,2,0.3333333333333333,0"
"202557,清宮幸,2,1,0.5,0"
"202557,奈良間,0,0,0,0"
"202557,万波,3,0,0.0,0"
"202557,山縣,4,1,0.25,0"
"202557,吉田,1,0,0.0,0"
"202557,石井,0,0,0,0"
"202557,水野,5,0,0.0,0"
"202557,伏見,5,2,0.4,0"
"202559,五十幡,4,0,0.0,0"
"202559,今川,4,1,0.25,0"
"202559,細川,0,0,0,0"
"202559,レイエス,4,2,0.5,0"
"202559,野村,4,1,0.25,1"
"202559,清宮幸,4,2,0.5,0"
"202559,万波,2,0,0.0,0"
"202559,淺間,1,0,0.0,0"
"202559,田宮,4,1,0.25,0"
"202559,山縣,4,1,0.25,0"
"202559,石井,4,3,0.75,1"
"2025510,五十幡,5,1,0.2,1"
"2025510,今川,4,0,0.0,0"
"2025510,淺間,1,0,0.0,0"
"2025510,レイエス,3,2,0.6666666666666666,1"
"2025510,野村,4,1,0.25,0"
"2025510,清宮幸,2,0,0.0,0"
"2025510,万波,4,2,0.5,6"
"2025510,郡司,2,0,0.0,0"
"2025510,伏見,0,0,0,0"
"2025510,山縣,4,1,0.25,0"
"2025510,石井,4,3,0.75,0"
"2025511,吉田,4,2,0.5,1"
"2025511,淺間,0,0,0,0"
"2025511,田宮,4,0,0.0,0"
"2025511,レイエス,4,0,0.0,0"
"2025511,細川,0,0,0,0"
"2025511,野村,4,1,0.25,0"
"2025511,清宮幸,3,0,0.0,0"
"2025511,万波,4,2,0.5,0"
"2025511,石井,3,2,0.6666666666666666,3"
"2025511,水野,4,1,0.25,0"
"2025511,五十幡,3,1,0.3333333333333333,0"
"2025513,吉田,3,0,0.0,0"
"2025513,細川,1,0,0.0,0"
"2025513,山縣,4,1,0.25,2"
"2025513,レイエス,4,0,0.0,0"
"2025513,野村,4,2,0.5,1"
"2025513,清宮幸,2,1,0.5,0"
"2025513,奈良間,1,0,0.0,0"
"2025513,万波,4,1,0.25,0"
"2025513,石井,3,2,0.6666666666666666,0"
"2025513,水野,0,0,0,0"
"2025513,伏見,3,1,0.3333333333333333,1"
"2025513,五十幡,3,2,0.6666666666666666,3"
"2025514,今川,3,0,0.0,0"
"2025514,五十幡,2,1,0.5,0"
"2025514,郡司,3,0,0.0,0"
"2025514,淺間,1,0,0.0,0"
"2025514,レイエス,3,2,0.6666666666666666,4"
"2025514,野村,4,1,0.25,0"
"2025514,吉田,1,0,0.0,0"
"2025514,清宮幸,4,1,0.25,0"
"2025514,奈良間,0,0,0,0"
"2025514,万波,4,2,0.5,0"
"2025514,石井,3,2,0.6666666666666666,0"
"2025514,田宮,4,0,0.0,0"
"2025514,水野,4,1,0.25,1"
"2025515,淺間,3,1,0.3333333333333333,0"
"2025515,郡司,4,2,0.5,4"
"2025515,清宮幸,5,1,0.2,0"
"2025515,レイエス,5,1,0.2,0"
"2025515,吉田,3,0,0.0,0"
"2025515,五十幡,2,1,0.5,0"
"2025515,万波,2,1,0.5,0"
"2025515,石井,3,1,0.3333333333333333,0"
"2025515,進藤,2,0,0.0,0"
"2025515,伏見,1,1,1.0,1"
"2025515,水野,2,1,0.5,2"
"2025516,郡司,4,1,0.25,0"
"2025516,淺間,4,0,0.0,0"
"2025516,五十幡,1,0,0.0,0"
"2025516,レイエス,4,1,0.25,0"
"2025516,吉田,1,0,0.0,0"
"2025516,清宮幸,3,1,0.3333333333333333,1"
"2025516,奈良間,0,0,0,0"
"2025516,万波,4,3,0.75,2"
"2025516,水野,3,1,0.3333333333333333,3"
"2025516,石井,3,1,0.3333333333333333,1"
"2025516,山縣,1,0,0.0,0"
"2025516,伏見,4,1,0.25,0"
"2025516,細川,4,1,0.25,1"
"2025518,田宮,3,0,0.0,0"
"2025518,淺間,2,1,0.5,0"
"2025518,細川,4,0,0.0,0"
"2025518,清宮幸,4,1,0.25,1"
"2025518,奈良間,0,0,0,0"
"2025518,レイエス,5,2,0.4,0"
"2025518,今川,0,0,0,0"
"2025518,万波,5,0,0.0,0"
"2025518,水野,5,1,0.2,0"
